,Coefficient
age,0.013677336450397622
duration,1.8028792859521736
campaign,-0.11386012793542408
pdays,-0.19270121249117683
previous,-0.024947366957092154
emp.var.rate,-3.4580738527682104
cons.price.idx,1.278376513479931
cons.conf.idx,-0.041949365507283724
euribor3m,1.248290949962063
nr.employed,0.12546029901678765
job_admin.,-0.06534064240076054
job_blue-collar,-0.3372506750827672
job_entrepreneur,-0.15393630665016547
job_housemaid,-0.038548480461372825
job_management,-0.1626440269984225
job_retired,0.37664190287811294
job_self-employed,-0.2383971931285839
job_services,-0.2428462271099059
job_student,0.32877624260236815
job_technician,-0.044732371742899554
job_unemployed,0.08845174618451754
job_unknown,0.18151264397472622
marital_divorced,-0.061247447459837456
marital_married,-0.00576748414346317
marital_single,0.12183307389324749
marital_unknown,-0.3631315302251684
education_basic.4y,-0.24444457640211462
education_basic.6y,-0.1661333007113155
education_basic.9y,-0.24339918053493628
education_high.school,-0.25084181839941994
education_illiterate,0.7563986576888128
education_professional.course,-0.06682014813531048
education_university.degree,0.03179016047676964
education_unknown,-0.1248631819176523
default_no,0.03595084899644267
default_unknown,-0.2849357947165957
default_yes,-0.059328442214975415
housing_no,-0.11058113704270396
housing_unknown,-0.14781780972451491
housing_yes,-0.0499144411679715
loan_no,-0.08279859078730868
loan_unknown,-0.14781780972451491
loan_yes,-0.07769698742335036
contact_cellular,0.01810866489391088
contact_telephone,-0.32642205282912135
month_apr,-0.1939193723544839
month_aug,0.8675567944326084
month_dec,0.11360209496964284
month_jul,-0.175719850833015
month_jun,-1.032412613776522
month_mar,1.8011017786264678
month_may,-1.028229396277154
month_nov,-0.9036221612864934
month_oct,0.040835492330742455
month_sep,0.2024938462329945
day_of_week_fri,-0.04878701254351441
day_of_week_mon,-0.1305118004207816
day_of_week_thu,-0.12497489338973114
day_of_week_tue,-0.03297958442884108
day_of_week_wed,0.028939902847697672
poutcome_failure,-0.541416843392795
poutcome_nonexistent,-0.13805279439744306
poutcome_success,0.37115624985503226
